iCase,Fr,beta,Cd,alpha_simple,alpha_SRH_2D,bConverged_simple,bConverged_SRH_2D
862.00,0.85,0.65,17.78,0.92,0.85,1.00,1.00
863.00,0.85,0.65,26.67,0.94,0.87,1.00,1.00
864.00,0.85,0.65,35.56,0.95,0.88,1.00,1.00
865.00,0.85,0.65,44.44,0.96,0.89,1.00,1.00
866.00,0.85,0.65,53.33,0.96,0.90,1.00,1.00
867.00,0.85,0.65,62.22,0.96,0.90,1.00,1.00
868.00,0.85,0.65,71.11,0.96,0.91,1.00,1.00
869.00,0.85,0.65,80.00,0.96,0.91,1.00,1.00
870.00,0.85,0.75,0.00,0.75,0.75,1.00,1.00
871.00,0.85,0.75,8.89,0.93,0.87,1.00,1.00
872.00,0.85,0.75,17.78,0.96,0.90,1.00,1.00
873.00,0.85,0.75,26.67,0.94,0.92,1.00,1.00
874.00,0.85,0.75,35.56,0.95,0.92,1.00,1.00
875.00,0.85,0.75,44.44,0.99,0.93,1.00,1.00
876.00,0.85,0.75,53.33,0.99,0.94,1.00,1.00
877.00,0.85,0.75,62.22,0.01,0.94,0.00,1.00
878.00,0.85,0.75,71.11,0.98,0.94,1.00,1.00
879.00,0.85,0.75,80.00,0.98,0.95,1.00,1.00
880.00,0.85,0.85,0.00,0.85,0.85,1.00,1.00
881.00,0.85,0.85,8.89,0.96,0.93,1.00,1.00
882.00,0.85,0.85,17.78,0.97,0.95,1.00,1.00
883.00,0.85,0.85,26.67,0.97,0.96,1.00,1.00
884.00,0.85,0.85,35.56,0.97,0.96,1.00,1.00
885.00,0.85,0.85,44.44,0.98,0.96,1.00,1.00
886.00,0.85,0.85,53.33,0.98,0.97,1.00,1.00
887.00,0.85,0.85,62.22,0.98,0.97,1.00,1.00
888.00,0.85,0.85,71.11,0.98,0.97,1.00,1.00
889.00,0.85,0.85,80.00,0.98,0.97,1.00,1.00
890.00,0.85,0.95,0.00,0.95,0.95,1.00,1.00
891.00,0.85,0.95,8.89,0.98,0.98,1.00,1.00
892.00,0.85,0.95,17.78,0.99,0.98,1.00,1.00
893.00,0.85,0.95,26.67,0.99,0.99,1.00,1.00
894.00,0.85,0.95,35.56,0.99,0.99,1.00,1.00
895.00,0.85,0.95,44.44,1.00,0.99,1.00,1.00
896.00,0.85,0.95,53.33,0.99,0.99,1.00,1.00
897.00,0.85,0.95,62.22,1.00,0.99,1.00,1.00
898.00,0.85,0.95,71.11,0.99,0.99,1.00,1.00
899.00,0.85,0.95,80.00,1.00,0.99,1.00,1.00
900.00,0.95,0.05,0.00,0.05,0.05,1.00,1.00
901.00,0.95,0.05,8.89,0.04,0.10,1.00,1.00
902.00,0.95,0.05,17.78,0.16,0.12,1.00,1.00
903.00,0.95,0.05,26.67,0.23,0.14,1.00,1.00
904.00,0.95,0.05,35.56,0.29,0.16,1.00,1.00
905.00,0.95,0.05,44.44,0.33,0.17,1.00,1.00
906.00,0.95,0.05,53.33,0.36,0.18,1.00,1.00
907.00,0.95,0.05,62.22,0.39,0.19,1.00,1.00
908.00,0.95,0.05,71.11,0.41,0.20,1.00,1.00
909.00,0.95,0.05,80.00,0.44,0.21,1.00,1.00
910.00,0.95,0.15,0.00,0.15,0.15,1.00,1.00
911.00,0.95,0.15,8.89,0.28,0.27,1.00,1.00
912.00,0.95,0.15,17.78,0.39,0.33,1.00,1.00
913.00,0.95,0.15,26.67,0.44,0.36,1.00,1.00
914.00,0.95,0.15,35.56,0.51,0.39,1.00,1.00
915.00,0.95,0.15,44.44,0.56,0.42,1.00,1.00
916.00,0.95,0.15,53.33,0.60,0.43,1.00,1.00
917.00,0.95,0.15,62.22,0.62,0.45,1.00,1.00
918.00,0.95,0.15,71.11,0.65,0.47,1.00,1.00
919.00,0.95,0.15,80.00,0.67,0.48,1.00,1.00
920.00,0.95,0.25,0.00,0.25,0.25,1.00,1.00
921.00,0.95,0.25,8.89,0.49,0.42,1.00,1.00
922.00,0.95,0.25,17.78,0.59,0.48,1.00,1.00
923.00,0.95,0.25,26.67,0.65,0.52,1.00,1.00
924.00,0.95,0.25,35.56,0.70,0.55,1.00,1.00
925.00,0.95,0.25,44.44,0.79,0.58,1.00,1.00
926.00,0.95,0.25,53.33,0.81,0.60,1.00,1.00
927.00,0.95,0.25,62.22,0.83,0.61,1.00,1.00
928.00,0.95,0.25,71.11,0.84,0.63,1.00,1.00
929.00,0.95,0.25,80.00,0.85,0.64,1.00,1.00
930.00,0.95,0.35,0.00,0.35,0.35,1.00,1.00
931.00,0.95,0.35,8.89,0.64,0.54,1.00,1.00
932.00,0.95,0.35,17.78,0.73,0.60,1.00,1.00
933.00,0.95,0.35,26.67,0.78,0.64,1.00,1.00
934.00,0.95,0.35,35.56,0.81,0.67,1.00,1.00
935.00,0.95,0.35,44.44,0.84,0.69,1.00,1.00
936.00,0.95,0.35,53.33,0.90,0.71,1.00,1.00
937.00,0.95,0.35,62.22,0.91,0.72,1.00,1.00
938.00,0.95,0.35,71.11,0.92,0.73,1.00,1.00
939.00,0.95,0.35,80.00,0.92,0.74,1.00,1.00
940.00,0.95,0.45,0.00,0.45,0.45,1.00,1.00
941.00,0.95,0.45,8.89,0.75,0.64,1.00,1.00
942.00,0.95,0.45,17.78,0.82,0.70,1.00,1.00
943.00,0.95,0.45,26.67,0.86,0.73,1.00,1.00
944.00,0.95,0.45,35.56,0.85,0.76,1.00,1.00
945.00,0.95,0.45,44.44,0.90,0.77,1.00,1.00
946.00,0.95,0.45,53.33,0.88,0.79,1.00,1.00
947.00,0.95,0.45,62.22,0.89,0.80,1.00,1.00
948.00,0.95,0.45,71.11,0.90,0.81,1.00,1.00
949.00,0.95,0.45,80.00,0.90,0.82,1.00,1.00
950.00,0.95,0.55,0.00,0.55,0.55,1.00,1.00
951.00,0.95,0.55,8.89,0.81,0.73,1.00,1.00
952.00,0.95,0.55,17.78,0.86,0.78,1.00,1.00
953.00,0.95,0.55,26.67,0.89,0.81,1.00,1.00
954.00,0.95,0.55,35.56,0.90,0.83,1.00,1.00
955.00,0.95,0.55,44.44,0.91,0.84,1.00,1.00
956.00,0.95,0.55,53.33,0.92,0.85,1.00,1.00
957.00,0.95,0.55,62.22,0.93,0.86,1.00,1.00
958.00,0.95,0.55,71.11,0.95,0.86,1.00,1.00
959.00,0.95,0.55,80.00,0.93,0.87,1.00,1.00
960.00,0.95,0.65,0.00,0.65,0.65,1.00,1.00
961.00,0.95,0.65,8.89,0.85,0.81,1.00,1.00
962.00,0.95,0.65,17.78,0.92,0.85,1.00,1.00
963.00,0.95,0.65,26.67,0.92,0.87,1.00,1.00
964.00,0.95,0.65,35.56,0.94,0.88,1.00,1.00
965.00,0.95,0.65,44.44,0.92,0.89,1.00,1.00
966.00,0.95,0.65,53.33,0.93,0.90,1.00,1.00
967.00,0.95,0.65,62.22,0.94,0.90,1.00,1.00
968.00,0.95,0.65,71.11,0.94,0.91,1.00,1.00
969.00,0.95,0.65,80.00,0.95,0.91,1.00,1.00
970.00,0.95,0.75,0.00,0.75,0.75,1.00,1.00
971.00,0.95,0.75,8.89,0.96,0.87,1.00,1.00
972.00,0.95,0.75,17.78,0.94,0.90,1.00,1.00
973.00,0.95,0.75,26.67,0.93,0.91,1.00,1.00
974.00,0.95,0.75,35.56,0.94,0.92,1.00,1.00
975.00,0.95,0.75,44.44,0.95,0.93,1.00,1.00
976.00,0.95,0.75,53.33,0.95,0.94,1.00,1.00
977.00,0.95,0.75,62.22,0.95,0.94,1.00,1.00
978.00,0.95,0.75,71.11,0.96,0.94,1.00,1.00
979.00,0.95,0.75,80.00,0.96,0.95,1.00,1.00
980.00,0.95,0.85,0.00,0.85,0.85,1.00,1.00
981.00,0.95,0.85,8.89,0.94,0.93,1.00,1.00
982.00,0.95,0.85,17.78,0.97,0.95,1.00,1.00
983.00,0.95,0.85,26.67,0.97,0.95,1.00,1.00
984.00,0.95,0.85,35.56,0.97,0.96,1.00,1.00
985.00,0.95,0.85,44.44,0.97,0.96,1.00,1.00
986.00,0.95,0.85,53.33,0.97,0.97,1.00,1.00
987.00,0.95,0.85,62.22,0.97,0.97,1.00,1.00
988.00,0.95,0.85,71.11,0.97,0.97,1.00,1.00
989.00,0.95,0.85,80.00,0.98,0.97,1.00,1.00
990.00,0.95,0.95,0.00,0.95,0.95,1.00,1.00
991.00,0.95,0.95,8.89,0.98,0.98,1.00,1.00
992.00,0.95,0.95,17.78,0.99,0.98,1.00,1.00
993.00,0.95,0.95,26.67,1.00,0.99,1.00,1.00
994.00,0.95,0.95,35.56,1.00,0.99,1.00,1.00
995.00,0.95,0.95,44.44,1.00,0.99,1.00,1.00
996.00,0.95,0.95,53.33,1.00,0.99,1.00,1.00
997.00,0.95,0.95,62.22,1.00,0.99,1.00,1.00
998.00,0.95,0.95,71.11,1.00,0.99,1.00,1.00
999.00,0.95,0.95,80.00,1.00,0.99,1.00,1.00
